dummy,IAGMIN,IUTIL,ICONS,IMANU,IWHOLE,IRETAIL,ITRANS,IPROFSER,IREALE,IEDU,IHEALTH,IART,IACCO,MAGMIN,MUTIL,MCONS,MMANU,MWHOLE,MRETAIL,MTRANS,MPROFSER,MREALE,MEDU,MHEALTH,MART,MACCO,L1WI,L2WI,L3WI,L4WI,L1BI,L2BI,L3BI,L4BI,L1HI,L2HI,L3HI,L4HI,L1WM,L2WM,L3WM,L4WM,L1BM,L2BM,L3BM,L4BM,L1HM,L2HM,L3HM,L4HM,KAP,INVES,HS1I,HS2I,HS3I,HS1M,HS2M,HS3M,HH1WI,HH2WI,HH3WI,HH4WI,HH5WI,HH1BI,HH2BI,HH3BI,HH4BI,HH5BI,HH1HI,HH2HI,HH3HI,HH4HI,HH5HI,HH1WM,HH2WM,HH3WM,HH4WM,HH5WM,HH1BM,HH2BM,HH3BM,HH4BM,HH5BM,HH1HM,HH2HM,HH3HM,HH4HM,HH5HM,WIUSSOC1,WIUSSOC2,WIUSSOC3,WIUSSOC4,BIUSSOC1,BIUSSOC2,BIUSSOC3,BIUSSOC4,HIUSSOC1,HIUSSOC2,HIUSSOC3,HIUSSOC4,WMUSSOC1,WMUSSOC2,WMUSSOC3,WMUSSOC4,BMUSSOC1,BMUSSOC2,BMUSSOC3,BMUSSOC4,HMUSSOC1,HMUSSOC2,HMUSSOC3,HMUSSOC4,PROTAX,TXSTX,COUNTYSTX,USPIT,OTX,CYGF,COUNTY,STATE,FED,OUT1,OUT2,OUT3,OUT4,ROW
HIUSSOC2,0.013659335,0.098650752,0.192748392,0.044013412,0,0.186677576,0.119898606,0.570656655,0.006070815,0.851431871,0.244350323,0.037942597,1.810620718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.865424908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013659335,0.012141631,0.001517704,0,0,0,0,0
HIUSSOC3,0.053878405,0.100059894,0.91208442,0.100059894,0.111605267,0.096211437,1.112204209,0.500299471,0.815872984,5.099206148,0.854357558,0.377148832,0.211665161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.385788827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173180586,0.161635214,0.01539383,0,0,0,0,0
HIUSSOC4,0.075366793,0,0.74613125,0.241173737,0,0.226100379,0,1.311382196,0,0,0.896864835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.999598357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007536679,0,0,0,0,0,0,0
WMUSSOC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012892089,0,0.238295718,0.044082629,0.105216085,0.998513124,0.024536557,0.591788495,0.017882576,0.340184813,0.168013037,0.149714588,1.221837384,0,0,0,0,0,0,0,0,0,0,0,0,1.60776832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002495243,0.002495243,0,0,0,0,0,0
WMUSSOC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015493738,1.267387731,0.898636777,0.768489382,2.595201038,0.419880287,2.537874209,0.223109821,2.866341445,1.087660375,0.235504811,0.816519968,0,0,0,0,0,0,0,0,0,0,0,0,0,6.302852432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137894264,0.127048648,0.009296243,0,0,0,0,0
WMUSSOC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718555586,0.544971933,3.588741099,6.93123562,1.618768482,2.381729188,1.017280941,14.00376026,0.880028751,21.95227682,9.155528472,0.427903888,2.147593098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.48436403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.263527518,1.170680448,0.088810241,0,0,0,0,0
WMUSSOC4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.167261685,0.874679604,6.43375442,19.07773403,4.985673742,4.54833394,0.903835591,20.6813133,1.418924691,11.9247986,7.949865734,0,0.116623947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.46953189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.273144757,1.175958134,0.08746796,0,0,0,0,0
BMUSSOC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007180869,0,0,0,0,0.137703715,0.008025677,0.226408561,0,0.10686822,0.153332664,0,0.240347894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386922094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMUSSOC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252966646,0,0,3.29875297,0.127332204,0.806437293,0.147705357,1.033937498,1.42781845,0.166380747,1.078079329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56699948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123936679,0.115447865,0.008488814,0,0,0,0,0
BMUSSOC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116852106,0.165540483,1.22694711,0.795243497,0.642686581,0.386261127,1.700847316,0,1.532060941,1.840420665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.346249154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249933671,0.23045832,0.016229459,0,0,0,0,0
BMUSSOC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346544442,0,0.205760762,1.516131934,0,2.588253801,0.292396873,3.118899978,0,3.41129685,1.375348254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.226970441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519816663,0.476498608,0.032488541,0,0,0,0,0
HMUSSOC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007474274,0.005900742,0.090478049,0.035404454,0,0.514544731,0.002360297,0.334768782,0.009834571,0.293463585,0.135323691,0.149485472,0.768670034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.008633556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001573531,0.001573531,0,0,0,0,0,0
HMUSSOC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06675899,0.332277701,1.306352056,0.584141163,0,0.845108124,0.063724491,1.74787174,0.010620748,0.860280622,0.67214165,0.031862245,2.729532344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.183057628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027310496,0.024275996,0.00151725,0,0,0,0,0
HMUSSOC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238532964,0.334715611,6.178773236,1.36194628,0.769461175,0.427050952,0.588637799,1.535075044,1.465823539,5.155389874,2.354551196,0.319326388,0.323173694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6070223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350104835,0.323173694,0.026931141,0,0,0,0,0
HMUSSOC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338920427,0,5.038617017,3.2536361,0,1.016761281,0,4.036918865,0,0,2.470353335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.569222872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROTAX,0.012736862,0.357031011,0.391801935,0.577392902,0.174976016,3.284781698,0.173710259,1.509026612,0.585010266,0.779434598,0.581224803,0.155223325,1.185044734,0.049709811,1.019125256,1.248803613,4.165875352,1.240783333,15.61897034,0.485901388,7.270082229,1.295078335,6.030525777,3.603995813,1.012813941,3.602409802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39272673,0.947688689,2.651554095,5.607966012,7.666227719,0.144924215,0.298565265,0.726577074,0.685102457,0.840354114,0.144327819,0.496689708,0.899930526,1.634642288,0.56786872,1.643643527,3.947257481,11.06225489,23.37979781,31.97007051,0.607745569,1.246345806,3.026680749,2.860786816,3.516805025,0.601271206,2.071417806,3.757618695,6.822220021,2.361468648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXSTX,0.041971586,0.032502365,0.177965717,0.127292844,0.064790638,0.216892988,0.35334352,0.817925605,0.113413925,2.394899663,0.511421813,0.085508765,0.305801391,0.190891924,0.108786017,1.210965637,1.707896484,0.442150063,0.977637446,0.187476636,2.509386268,0.204084216,2.419171877,1.407703883,0.072373277,0.461684845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTYSTX,0.055402494,0.042903122,0.234914746,0.168026554,0.085523643,0.286298745,0.466413447,1.079661799,0.149706382,3.161267555,0.675076794,0.112871569,0.403657836,0.25197734,0.143597542,1.59847464,2.254423359,0.583638083,1.290481429,0.247469159,3.312389874,0.269391165,3.193306878,1.858169126,0.095532725,0.609423995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USPIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.188582422,6.87436339,9.969526075,10.61576898,173.3348221,0.438611281,2.165738757,2.731842847,1.296885429,19.00056144,0.436806296,3.602897853,3.383631078,3.094345589,12.83961645,6.07638583,39.75661846,73.01444109,96.77962659,1213.326124,2.24677462,12.55314479,19.97706666,11.84209898,133.4695652,2.22283955,20.86323676,24.80149225,28.24027443,89.62231097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
