Household Group,Y0,YL
HH1WI,4.190482440449588,6.053462219138404
HH2WI,27.76302524965467,33.67314204534072
HH3WI,132.45884006587596,162.466420497467
HH4WI,528.7736793728063,634.1945326366356
HH5WI,661.2174519991968,732.4097008091712
HH1BI,1.9615554542344613,2.9282590043780417
HH2BI,14.609009581648435,17.98160864640285
HH3BI,46.08736172208322,55.80438263447798
HH4BI,50.90317485947206,54.05144959704717
HH5BI,86.62227726904386,93.99778249717808
HH1HI,1.668642064214881,2.576823122310285
HH2HI,17.520680041930074,21.086186329833836
HH3HI,62.574726589740166,74.2567600620666
HH4HI,153.9137379530795,172.15963098726542
HH5HI,40.63937079526965,45.05040209577824
HH1WM,17.502039992219494,22.74001194744279
HH2WM,117.49543792256934,137.46889346949803
HH3WM,554.6954181060239,653.8458685994681
HH4WM,2219.168785593414,2584.3205538649213
HH5WM,2800.527151075261,3137.093886364217
HH1BM,8.074891134324645,10.675416793214149
HH2BM,61.052520093879124,72.69175289384437
HH3BM,194.4234757324625,226.50555801071252
HH4BM,217.3600198773788,281.3931380565022
HH5BM,362.189294166852,403.9523695958557
HH1HM,6.856468890414443,9.337546212380971
HH2HM,74.68242325418007,86.77552625254637
HH3HM,265.0674333214894,305.8411212354046
HH4HM,689.3035399070868,767.9028918972357
HH5HM,171.47479412450136,185.39768847043356
