DUMMY,OUT1,OUT2,OUT3,OUT4
HH1_R1,0.048773558,0.072260631,0.082062695,0.023913249
HH2_R1,0.045172639,0.066935793,0.076001894,0.022191651
HH3_R1,0.044116318,0.065387147,0.074241388,0.02165804
HH4_R1,0.038657908,0.057299881,0.065055853,0.018983431
HH1_R2,0.02153322,0.031890971,0.036252129,0.010562181
HH2_R2,0.032558275,0.048253931,0.054788926,0.016016571
HH3_R2,0.035385314,0.052445511,0.059532304,0.017368319
HH4_R2,0.047745594,0.070765156,0.080346271,0.023455067
