DUMMY,HH0,HW0,HHN0,HHOUT
HH1_R1,47562,21118,26444,4794
HH2_R1,66904,44341,22563,9325
HH3_R1,102768,77477,25291,15914
HH4_R1,154651,123002,31649,22140
HH1_R2,35598,14675,20923,1471
HH2_R2,50999,34277,16722,5197
HH3_R2,77844,61664,16180,10158
HH4_R2,144116,112513,31603,25013
