guid,sector
d7eec988-12ea-4f4f-b11c-3442c40b64ec,HS3I
80b18d06-8f00-45d9-92ea-bb82e6f061df,HS3I
8c735962-de21-4b13-8e60-b5df6bf4c203,HS2I
3c547b6b-cbf8-4881-8af8-d2ac4bb56886,HS2I
22f97b2c-05e8-45e5-a84b-aaeeb2f7eef6,HS2I
55ae26ff-2d7f-48da-b2e4-75f861693963,HS3I
3576a5b9-3fe6-49f4-93e1-eb87742511e2,HS3I
abc72b3a-a03e-45e8-a896-beea14221832,HS3I
ff4fc75f-a159-43b9-a745-c51d7bc06f7c,HS3I
d614ad01-c6b0-48d0-9c9d-59835c867d48,HS3I
70cb8a63-c8a6-41ec-9d93-5eb5b9f7f1ab,HS3I
1d624f09-338f-4ee9-8fe8-34937df45edf,HS3I
31b4aae6-fbe2-41bc-9fc1-efcf5074dd50,HS3I
31a1608b-1501-4915-8ef8-dfbe0e1f05af,HS2I
fb9a015b-f4f0-4c39-8796-7e6557838602,HS3I
cc95ffcf-9595-4bfa-9b1e-24e658cf81cc,HS3I
ca152239-6686-4d88-bc61-9f0fed992622,HS2I
d35910c7-c905-4f04-9135-589a1531197f,HS2I
7b40f3ff-ca24-4720-959f-e02e5e8ea613,HS3I
7ff0b58b-756c-49f4-98ad-6e8861c67dd3,HS2I
4cf9228e-9497-4fd9-aae2-5c1fe17de467,HS2I
74e280c6-54f0-4135-851c-2388da97f102,HS3I
6ffc40c3-0ab1-4a4c-92fd-4855890430b4,HS2I
4440f649-85c9-4c36-8772-43c9f0c32392,HS3I
bdadf172-9be6-4efa-b482-97e9e0556445,HS3I
d858032f-7a54-4493-b5df-2efe44d228b7,HS2I
cfe52a39-7ec7-49bc-8b35-cb6e14952db9,HS3I
05ae63af-18d4-4a2b-b250-ce4672a0fc29,HS3I
9ae4d624-1fb8-4245-a4bd-f38a8e517dea,HS2I
8ab01049-a519-4b85-a378-dc65b4a26d9b,HS2I
2da29d87-8d08-48ad-9e9b-99b08a7cf180,HS3I
a7ab482e-040e-474d-ae40-56204e2a3e29,HS2I
9ea7cf40-419a-45b0-b0f2-9bb619c56422,HS2I
7a2624f1-311c-4257-a980-07d27d4f8132,HS3I
8693eaaf-5ccf-4693-9f39-53f6c9280ecc,HS3I
9ea24540-10e1-4d92-bd1c-5b1f70f628d5,HS3I
b49497ba-5bf5-49b8-9081-612c2f8dc076,HS3I
5a8cc934-c861-49c4-8000-66498563068e,HS3I
12e18946-95ed-4920-a57a-c09ea9d871bc,HS3I
b4697643-a047-48f7-861e-015b2e19416d,HS2I
d1054fa2-92ca-481e-acfe-82ea337883ef,HS3I
1f878c1b-402a-4b4a-a994-7e6020182560,HS2I
3bb9662e-2cb4-4317-88bd-98dd4fa8fc92,HS2I
b85bf895-ebb8-4d46-af3f-a685192eb0b0,HS2I
c0a494c0-858f-457a-820b-7ee89585d558,HS2I
08c1ff66-c035-4d43-b4e1-20dc5f9d90de,HS3I
a9ec2260-f734-408a-a778-6c6c9f0076fb,HS2I
4c543295-1b79-435f-b750-c7237e82b0ad,HS2I
