guid,sector
1533cb00-ee5d-4222-85ef-b778addcf902,HS4
c46acc63-0aeb-4ee3-bfae-45acb8fbfeb5,HS3
694f0d41-f1c1-4fb7-ba32-c35c5e06e12a,HS4
5709c34d-e166-4bd8-9492-42875d0fa85c,RETAIL
a48c5399-b0ae-45e3-bf94-320939671d7e,HS3
555753e4-4726-4cf3-9bf9-b12c95d2b1ab,HS3
e26aa119-f4cb-4617-98c7-3e61d8b288a2,HS3
b5b8ddd2-fb58-426f-b02c-7fdd889c8fb2,HS3
5c1765c5-ae7c-4178-a558-03100743080b,HS4
46f864c1-a43b-47a7-a035-641b123158ea,UTIL_CONS
53a65842-a3be-436f-8998-d2b323ec21bc,UTIL_CONS
b6c67e8e-c096-4e9d-b6be-60a0eb1640c0,ADMIN_EDU
ae61b057-a515-46d0-9313-0af6baa2f283,RETAIL
826dcc05-3b93-457d-9a72-1e817e8995c4,RETAIL
c718783b-246c-4a0a-abcb-795e575dc9e8,RETAIL
f211c99d-0ac0-44da-a345-ddd89ee2e585,ACCO
daf4d386-acbb-4827-9b36-da55e28f7b3f,MANU
f278cf07-387c-4bc1-a42c-1eb276776cc8,MANU
4af6b70c-3a2a-40d7-a801-b3d88f7dccbd,MANU
c2ddea5e-1ce5-459b-97ab-8668a292c106,HEALTH
108f37a4-fba5-445e-830d-345ed4bec637,HEALTH
f7617424-051a-4de7-847c-4d3ae92f9424,RETAIL
5d39c33e-4919-46ef-bdc5-60ae52f84ccc,REALE
e8e86aa6-96f3-443c-a2d9-b3e40065cfc9,REALE
dd0e0201-652d-4cde-a744-387dec69e8f3,RETAIL
18ed2535-7790-47a9-b44b-d390c4e36558,HEALTH
56130c64-2dc7-4f16-826d-bc3ee3303ce0,MANU
1398e9cd-57e9-4406-92f2-0fd2e92910c0,RETAIL
686bbb68-8dcc-4fbf-99d5-1369bd02085b,ACCO
e516ea00-9fc6-46ca-ab04-6ab51f6ac669,ACCO
de1158f0-b29d-4752-ab51-cf86e736d148,UTIL_CONS
361d3afb-671d-484f-8a16-bdc950add96b,MANU
da2d49b7-7e04-451e-bb5f-b7285f701b1f,TRANS
641ac9e4-65cb-4dd3-8ed6-cc2e80026963,TRANS
0595911c-7555-4946-b3b4-6536f997e03d,MANU
428e1a88-c834-4943-94a6-52057040601c,MANU
c6e213d9-b892-49d6-b74f-9791fe4ee771,MANU
2ab22ca4-4cee-40f1-a9ce-24aae10ff3e0,MANU
aad7cb94-aba7-4fcc-8a64-11f08331962d,RETAIL
2c56e8be-8ad7-4e00-b62b-8c28ad065daa,MANU
97409bc0-66c1-4fcd-a191-ceece0419576,MANU
eaa1dcc1-1569-4644-a19f-f21267f386c3,MANU
e10e14cd-d324-4b7e-b84e-f6d75f041598,MANU
befc383a-ce31-4220-a895-f9fca2a9c357,HS1
cbf0fc07-ed3f-4dd9-92c1-4419832fc4ab,MANU
50a81532-8c01-490d-9f7d-f3a68c7cc207,OTHER
3c6473de-1952-4dad-a8ad-aafabb97a700,PROF_MAN
aec75c6c-6065-4be9-931b-bb769919410b,PROF_MAN
fdfd0fd6-55e4-42b2-a514-7ff8af16075e,HS4
4909c927-0881-4edd-b576-4b9d8ff8a971,HS2
5e2ff154-82c3-465a-9593-94be93bea106,HS3
f9edb7ee-56af-4f16-9a54-dca372760ea8,HS1
57184f5c-353a-4320-af4d-08afb3eb6c6c,HS1
47e036db-d200-4f9d-b1cc-900452620e60,HS2
4357172f-0a2e-406c-982a-64ececfbed1d,OTHER
f1320a6c-ffdb-4675-8793-3114641d278f,ACCO
043048b5-5056-4d87-915b-5e0007c9ef63,FINANCE
ea9246aa-5d7e-42b9-9acb-f9a11bf5a8cd,ACCO
a0a2c198-afa3-4527-b303-1f0606b1b7b7,RETAIL
2ba1b880-5f04-4485-ba49-5395fe350403,UTIL_CONS
e71e00d7-9670-46fd-8b07-3be82892ec1f,UTIL_CONS
71b6453d-64fa-4a9f-8f20-c4450812f26b,RETAIL
69b5b40b-2701-47c1-ac17-5246138942da,HS4
20c4a9f8-6853-4c37-b50d-96e0e3c5ae19,HS2
d4091bc0-aa32-4349-8215-4d9eb9b636cc,OTHER
2c7b58c0-1420-4c46-b748-c08f5291e8dc,OTHER
7903eb03-0c17-4a2f-a264-935a76cb6e9a,OTHER
70e8bd93-e33d-4c35-8a41-92d4db10d271,HS2
2d64ba9b-2688-4ff9-93be-27667d67c4ad,HS1
4cc582cd-ad98-45c4-b1c6-c9413a83a568,HS4
