guid,sector
8ce0c0be-d609-498c-9ddd-429954a7ed37,MANU
aa59f213-ee81-4236-9aba-8ca5baf0ce4d,MANU
122ddcec-0732-4e1d-8f4c-977f80ba7c30,MANU
e76400d1-c331-49be-b10d-b96384182202,MANU
7db2ba55-ff69-48f1-865f-84d7d64420ff,RETAIL
29f0872e-a490-4f58-b7c6-5b50ba1ec82c,MANU
e54fb448-c869-4313-84fa-ffca213a7b64,MANU
35166442-b1b6-44ed-b141-635bc39c2d08,MANU
38761a25-5687-4099-bbcd-1cecb47740a3,MANU
1590570c-1836-4904-9ef2-fa057b4ffff2,HS3
052a2f06-1359-4860-9a71-9be8a801ff71,MANU
f5c47fd0-d09d-4d46-aafe-b844f74845d3,OTHER
7997d3bc-83be-4c31-8f2d-475f55eab7b1,WHOLE
29ae0a17-0d04-473a-8fba-e80de95bc91d,PROF_MAN
0d918a07-9ef3-4511-a65c-fe6bc12dcbdf,HS1
d4684c2a-a0cf-43c6-a859-8cf4ab0de9ae,HS3
e8c0dd6d-7b01-4c2b-bbc6-f06d73c03e49,HS4
d3993408-ca38-4b73-adef-25ee5558a139,HS2
77c02831-c724-4e96-b0c6-f18a18dd1b3a,HS2
4e0ad7f4-7aee-42fc-bbef-c2d31ab4e0a9,HS2
be69855d-8f77-4edf-a9ac-08f6ff8a11f6,OTHER
31074758-0a77-46ee-80dc-f34e3ff4185a,ACCO
3f3d5353-82e5-462e-8d66-14b037c821dc,FINANCE
821dd191-36d0-4997-ad5b-b074020e9eea,ACCO
a306ca39-a23e-4422-8b9b-477a44d6bfda,RETAIL
1ff906df-f47e-4f18-ba2f-2dba1ebd8a1c,HEALTH
fa42f61a-91c3-4b0d-a3f7-06638878a47f,UTIL_CONS
6fcf2ff9-ac37-4201-a57b-eed3cf5c9117,RETAIL
6a647504-b597-4b55-aa3a-dc40733932c3,HS3
cb0e2211-3601-4074-bebd-ce821d4e4651,HS3
3cb09f23-59ac-446a-81f9-258d1f088a0a,OTHER
2176edfb-5726-40c3-9a3f-9a287c36eff5,OTHER
7a040b45-9952-422a-a845-819b790a4cfa,OTHER
1cdb8c51-4251-4311-b6b1-b1eef1edd9eb,HS3
a1786d62-d67e-4577-8e06-c1f5f67dce86,HS2
c654192b-8ba4-4769-a4b8-d8f5e7e2ba23,HS4
94d30106-6925-4269-a6ef-28ad67bf9ef2,HS4
3a9d677c-d11c-415b-bedf-9e82c6c49a9b,HS3
a7406431-2fe4-4af4-bbf9-5deaf5cd8477,HS3
d853dbbe-ff7e-4b1a-a6aa-00971f1f1744,HS3
6cabcf24-8089-455f-a474-3b6cee227a3e,HS3
63f5531f-c4fc-473f-bc71-d29cd787fe02,HS3
3e189299-079b-4afd-8ff5-8ab18dc00239,HS4
c2b9ab48-221a-4f3b-a8d5-39914bf3aed9,HS4
8f9582be-1b7b-4502-91e4-1a714ff04ba3,HS4
3b9ed77c-7956-41e9-8064-6b21d0e6d7f1,HS4
34ed861a-d724-41e9-a2ea-21638df4970b,HS4
68c9d72d-7e4a-414c-b67a-8cd9d37a0aeb,HS3
ea02fe2e-5246-4199-a2ee-9ee85510670f,UTIL_CONS
73f4c29e-089d-4382-8b5b-84c9ccfd01d7,HS3
d25d578c-efb7-4101-b416-dbfd57669c07,RETAIL
97a969e3-14d7-48fe-b642-7def0f9404b7,HS3
2eabb583-d06c-4322-b2bb-3d84c39cae21,HS4
f324a543-8c6b-4fcb-be76-58d5eb78ef2e,HS4
a7943a53-82de-4fe3-9b40-3f96398b60ac,HS3
ce4a934f-7996-4929-9837-85b89bde4100,HS4
bea76553-7dfc-495e-a0ec-c0fc1de47ffd,HS3
cc34c305-5bc9-4d90-bb73-78a1f77f3e85,HS4
faf29ed0-8fb6-4cfc-8374-ead28df9bb7d,HS4
2e2ff856-8849-48d2-b620-6ed603854edd,HS4
27b2c251-0cc9-4086-8b3c-fa99350f7ca0,HS4
d439ae07-c829-4a57-a5cf-8caaba88b641,HS3
52202720-442f-4b5d-8453-23b4146da42e,HS4
