guid,appr_bldg
8746b9e7-d9e2-4983-bedd-93e286526d10,1.6705441
af9b4b72-4555-45e3-8513-d011268b20a9,0.6029768
f6b92d83-3783-45e9-8aac-1ed308754542,1.291047
6bb97614-eb5a-4324-b4be-7115f3b77971,1.0758725
f4700d1a-8ed1-477a-8d2a-244f0a639ad7,0.6965661
9778bbe4-4766-4e66-81d9-74a1966e7291,0.73891151
6535e27a-9d91-45c5-a900-231a71474836,76.521469
d8a94782-192e-46ec-90de-6abfdde6342c,21.517887
b39dea35-9f87-417e-9514-f9ce4d9b1056,1.4778862
6f134592-e205-4891-b76f-bb5c2b3a00aa,1.1276804
af2c731c-a289-4cd3-9895-8b19676c28c3,3.4490678
ec4c7702-b7bd-468c-9892-cd9ac5152dbf,0.17514786
85e1c5f2-a0d7-4eda-9732-73fa8135c9c7,32.658257
bd1ae475-bfa5-4f11-82a1-5de7deffb698,5.7503009
7deb1ac9-2528-466d-8d7f-ac94af19445e,7.5784588
4030fd7e-9626-4501-a01a-1d1c8fdd4876,2.2283351
9e070a3a-7c70-4bc3-9d23-263f5051ff42,1.2933196
bc080436-6198-4f37-81b0-e957ceedcaea,1.0346556
63c095bb-2641-46d9-ab60-8b924b4ff4c0,0.30582035
7f21695f-7bc8-44e4-b97d-52b83f5f2165,8.7401276
a1b7065f-e248-420f-9f5e-122d60042055,0.24608423
69f56d7a-4a68-4ce6-bc6d-dab132d44b5f,0.21026248
1d6336b5-9c7b-4100-9fe9-864715b9bbee,0.21764824
746faf23-4408-454f-ad28-cfc00a1e294e,0.20460798
6b91bfd2-b51e-40e6-92e4-b14ba5dc08ce,0.27534029
bfcb124c-1fd6-439d-9f8f-1fb8bf60a49b,0.22178733
ed6e5d0d-c5be-4065-be91-f5970a6a5db5,0.3650558
c6545f8c-a715-4d88-a57a-201b7da9a086,0.21026248
fd463879-9486-4c65-9c51-0b160ff9bcec,0.26751062
21166612-4fd4-4035-8c24-c89ebff52a28,0.21026248
0c59b15e-900e-4873-96a3-e7f046737dc0,0.3371588
5cc99653-2b76-4937-8c6f-00ed2d546956,0.24082802
e6694657-c46c-4295-9b9c-9ac751e1f4e1,0.21906008
1d76ff50-bb6c-48d7-a38e-acbf300a2738,0.23527728
8d1fd920-be0c-4054-ae88-6aa5e90b0d83,0.28331915
aff748d0-fd88-474c-9075-c87052ff4537,0.62311
e48e5c1c-12c5-4dd5-a62d-db3645e7fa97,0.22115386
56d2302d-c947-4263-80fd-cf81d09dbd09,0.21026248
4356a905-d0d5-468c-94dc-364f67868b6f,0.29644567
93bbe630-4563-4676-8acb-8484a18d1f20,0.1882685
14bb842c-4a11-445d-9586-03f5d9a3cf3e,0.29675007
5a5b6d09-9f04-4550-9e12-4cdac050b257,0.2385186
46b81dec-70dd-4280-84ce-042ba555d7b7,0.29574457
5685c2a5-ca41-4b2f-a5dd-0c0f04f20bcf,0.35715112
978a0331-de37-49fb-b2dc-3f861b3ca74e,0.21026248
5ba710c0-cde1-431b-a01c-8866bd1416c3,0.24486285
ed3e0797-2861-41d8-9a59-f69dd0c53b49,0.34112144
8774a51d-df77-4a2d-9d77-e25ed321da68,0.41847289
fa59a825-5f48-48b1-bce2-ad5be197468a,0.3341983
ae1696ee-511f-4678-8998-949304f21ae7,0.39787135
55ad3007-2815-4f94-9d9b-d13112f04a0a,0.27087194
678cd036-daad-4736-9ebf-dc4b63e4e6ca,0.21026248
81619936-e961-4e56-8ee6-1599dc767f6a,0.19744916
31689db0-7582-4615-a818-6b6b32cf4cde,6.2818928
1533cb00-ee5d-4222-85ef-b778addcf902,0.31601444
c46acc63-0aeb-4ee3-bfae-45acb8fbfeb5,0.24309391
694f0d41-f1c1-4fb7-ba32-c35c5e06e12a,0.34647077
5709c34d-e166-4bd8-9492-42875d0fa85c,6.4610887
a48c5399-b0ae-45e3-bf94-320939671d7e,0.24545287
555753e4-4726-4cf3-9bf9-b12c95d2b1ab,0.20964479
e26aa119-f4cb-4617-98c7-3e61d8b288a2,0.18719786
b5b8ddd2-fb58-426f-b02c-7fdd889c8fb2,0.18674083
5c1765c5-ae7c-4178-a558-03100743080b,37.122639
46f864c1-a43b-47a7-a035-641b123158ea,10.129867
53a65842-a3be-436f-8998-d2b323ec21bc,0.75630176
b6c67e8e-c096-4e9d-b6be-60a0eb1640c0,62.79604
ae61b057-a515-46d0-9313-0af6baa2f283,0.59927511
826dcc05-3b93-457d-9a72-1e817e8995c4,0.56209755
c718783b-246c-4a0a-abcb-795e575dc9e8,0.31099185
f211c99d-0ac0-44da-a345-ddd89ee2e585,0.89626545
daf4d386-acbb-4827-9b36-da55e28f7b3f,0.65208566
f278cf07-387c-4bc1-a42c-1eb276776cc8,5.6296716
4af6b70c-3a2a-40d7-a801-b3d88f7dccbd,1.558964
c2ddea5e-1ce5-459b-97ab-8668a292c106,0.45449105
108f37a4-fba5-445e-830d-345ed4bec637,2.1336415
f7617424-051a-4de7-847c-4d3ae92f9424,0.23539834
5d39c33e-4919-46ef-bdc5-60ae52f84ccc,5.4550028
e8e86aa6-96f3-443c-a2d9-b3e40065cfc9,2.5257893
dd0e0201-652d-4cde-a744-387dec69e8f3,8.5362387
18ed2535-7790-47a9-b44b-d390c4e36558,0.83566517
56130c64-2dc7-4f16-826d-bc3ee3303ce0,2.3418767
1398e9cd-57e9-4406-92f2-0fd2e92910c0,0.95326769
686bbb68-8dcc-4fbf-99d5-1369bd02085b,0.6878947
e516ea00-9fc6-46ca-ab04-6ab51f6ac669,0.37663299
de1158f0-b29d-4752-ab51-cf86e736d148,0.37055412
361d3afb-671d-484f-8a16-bdc950add96b,13.071675
da2d49b7-7e04-451e-bb5f-b7285f701b1f,0.98235023
641ac9e4-65cb-4dd3-8ed6-cc2e80026963,2.6014152
0595911c-7555-4946-b3b4-6536f997e03d,0.76532209
428e1a88-c834-4943-94a6-52057040601c,64.620094
c6e213d9-b892-49d6-b74f-9791fe4ee771,2.3106117
2ab22ca4-4cee-40f1-a9ce-24aae10ff3e0,3.8104665
aad7cb94-aba7-4fcc-8a64-11f08331962d,0.71622664
2c56e8be-8ad7-4e00-b62b-8c28ad065daa,0.36091918
97409bc0-66c1-4fcd-a191-ceece0419576,2.1421297
eaa1dcc1-1569-4644-a19f-f21267f386c3,18.766121
e10e14cd-d324-4b7e-b84e-f6d75f041598,0.48001105
befc383a-ce31-4220-a895-f9fca2a9c357,0.11309639
cbf0fc07-ed3f-4dd9-92c1-4419832fc4ab,3.9472418
50a81532-8c01-490d-9f7d-f3a68c7cc207,0.96400768
3c6473de-1952-4dad-a8ad-aafabb97a700,5.7742906
aec75c6c-6065-4be9-931b-bb769919410b,3.1758597
fdfd0fd6-55e4-42b2-a514-7ff8af16075e,0.9128269
4909c927-0881-4edd-b576-4b9d8ff8a971,0.17543735
5e2ff154-82c3-465a-9593-94be93bea106,0.20086135
f9edb7ee-56af-4f16-9a54-dca372760ea8,0.057815813
57184f5c-353a-4320-af4d-08afb3eb6c6c,0.082526825
47e036db-d200-4f9d-b1cc-900452620e60,0.14346011
4357172f-0a2e-406c-982a-64ececfbed1d,0.22909787
f1320a6c-ffdb-4675-8793-3114641d278f,1.9379251
043048b5-5056-4d87-915b-5e0007c9ef63,1.4423089
