dummy,IAGMIN,IUTIL,ICONS,IMANU,IWHOLE,IRETAIL,ITRANS,IPROFSER,IREALE,IEDU,IHEALTH,IART,IACCO,MAGMIN,MUTIL,MCONS,MMANU,MWHOLE,MRETAIL,MTRANS,MPROFSER,MREALE,MEDU,MHEALTH,MART,MACCO,IL1,IL2,IL3,IL4,ML1,ML2,ML3,ML4,KAP,INVES,HS1I,HS2I,HS3I,HS1M,HS2M,HS3M,IHH1,IHH2,IHH3,IHH4,IHH5,MHH1,MHH2,MHH3,MHH4,MHH5,IUSSOC1,IUSSOC2,IUSSOC3,IUSSOC4,MUSSOC1,MUSSOC2,MUSSOC3,MUSSOC4,PROTAX,TXSTX,COUNTYSTX,USPIT,OTX,CYGF,COUNTY,STATE,FED,OUT1,OUT2,OUT3,OUT4,ROW
IL1,0.099541856,0.0317208,0.785463817,0.098033814,0.248014211,5.89623353,1.065257215,6.05266157,0.249692323,11.81410812,2.677412846,5.690636647,23.84792912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03279758,0.03279758,0,0,0,0,0,-25.45586915
IL2,0.220311852,1.666059127,6.733201159,1.808690677,1.847976657,24.05513761,18.53001467,26.78558458,3.435606162,76.08335032,18.71665091,8.232375153,49.44940468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.357653678,2.176075078,0.1815786,0,0,0,0,-87.0196291
IL3,3.407349133,4.793123251,23.60370129,11.41057795,7.524662099,12.3813278,60.62000331,90.63275377,21.03461233,457.3083861,78.25931407,14.28384487,26.32412338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.06599307,14.05913902,1.121273731,0,0,0,0,-299.7296211
IL4,10.11800382,4.230682514,27.58335225,28.67290787,11.75189587,29.21399532,36.34248451,146.3388895,12.69204754,244.8019618,69.04981717,0,1.25353556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.66153084,13.40665318,1.133318319,0,0,0,0,-76.46254715
ML1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444310188,0.095173263,5.302802703,1.282049718,1.697033631,26.62518661,0.563266628,18.59622319,0.447050747,11.94381642,7.36563535,4.825807418,35.9815373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065625394,0.065625394,0,0,0,0,0,-66.86043476
ML2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.076757904,5.609216744,45.59203923,23.91577323,12.39499003,108.6945505,9.853822292,82.13198778,6.152192353,76.7832188,51.41323347,6.995932302,74.58276841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.663571594,4.302782409,0.311327515,0,0,0,0,-287.8143333
ML3,0,0,0,0,0,0,0,0,0,0,0,0,0,15.43691209,16.07322016,160.2105616,153.5504679,51.3463412,55.66881809,32.13193335,278.0593971,37.83632725,461.9310909,215.3306505,12.05210122,39.85107729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.05751651,27.81149131,2.128561954,0,0,0,0,-824.3533155
ML4,0,0,0,0,0,0,0,0,0,0,0,0,0,46.01171862,14.10773555,188.356971,384.63713,80.41409262,131.5056294,19.29407199,448.9860023,22.88588211,247.3563782,190.2510859,0,1.881031406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.91873258,26.65252809,1.934782288,0,0,0,0,-941.8111075
KAP,0.2879828,8.072537,8.858714,13.05496,3.95624,74.26952,3.927621,34.11937,13.22719,17.62316,13.1416,3.509628,26.79408,1.123948,23.04261,28.23568,94.19121,28.05434,353.1478,10.98632,164.3779,29.28196,136.3513,81.48701,22.89991,81.45115,0,0,0,0,0,0,0,0,0,0,21.34641,213.1946,301.4367,70.89388,514.2598,1650.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2771.56839
INVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.2797995,545.1640146,0,0,0,747.8811002,2408.736285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.9809319
