Household Group,Y0,YL
HH1WA,1.9045234421664352,1.8954180046025346
HH2WA,12.91145528118361,12.861029840111094
HH3WA,79.25387013277509,78.95225488931662
HH4WA,90.74209985616275,90.38866193667651
HH5WA,22.18501277968372,22.049857919402918
HH1BA,4.188758203877276,4.16507060784095
HH2BA,16.841612540587242,16.775616462741052
HH3BA,43.308376945712894,43.16111448193699
HH4BA,19.37288272487603,19.301193860034008
HH5BA,0.9857132246651293,0.9802634354901131
HH1IA,3.010160200311033,2.9891702718315343
HH2IA,22.64487774370007,22.584558329281474
HH3IA,67.78490624486149,67.64413242445326
HH4IA,74.39507444511958,74.23378835376616
HH5IA,16.444763124157337,16.393634616529436
HH1WB,3.3641573734284926,3.357781181351364
HH2WB,23.12083407690529,23.085153643770354
HH3WB,140.5901171836454,140.41108932435267
HH4WB,160.5592493510965,160.34500852812158
HH5WB,39.663199702924594,39.55799952740174
HH1BB,7.236852157866077,7.214733566208289
HH2BB,29.08480427072798,29.038705192202645
HH3BB,74.75285800858555,74.66666901935969
HH4BB,33.25584763245653,33.21375886875167
HH5BB,1.630031915862158,1.6253503821772446
HH1IB,5.0959955035491875,5.079928963396199
HH2IB,38.14133115093686,38.07394473597908
HH3IB,114.77389217438444,114.58699581314693
HH4IB,126.15496638307818,125.94985970935117
HH5IB,27.313744852821607,27.268260655714798
