Household Group,HH0,HHL
HH1WA,296.0000016340679,295.9530928083804
HH2WA,731.0000073777669,731.127907507222
HH3WA,2577.000030281694,2577.504747103383
HH4WA,2324.000025710473,2324.4371486150803
HH5WA,271.00000157861786,270.87032080038944
HH1BA,574.000004667336,574.0803192956857
HH2BA,863.0000102160718,863.3245910792803
HH3BA,1917.000031179081,1918.2263213979884
HH4BA,685.0000099076369,685.311419804323
HH5BA,30.000000184689043,29.986011442528046
HH1IA,414.00000470989073,414.2083458033658
HH2IA,1424.0000262734006,1425.4691785897703
HH3IA,2404.000051987181,2406.9436186703006
HH4IA,2117.000044044287,2119.4883075227604
HH5IA,269.0000054345776,269.26234993051196
HH1WB,512.0000026768672,511.9970221311548
HH2WB,1260.0000131373897,1260.3863427356491
HH3WB,4457.000070032817,4459.646495245428
HH4WB,4021.000060159481,4023.3582409707324
HH5WB,472.0000049518438,472.0969424871337
HH1BB,992.0000110414535,992.4491428241023
HH2BB,1490.0000235708771,1491.0639228860005
HH3BB,3307.000077507654,3310.908485491446
HH4BB,1187.0000248126214,1188.2197329985884
HH5BB,52.000000261494314,51.98802535254675
HH1IB,714.000002734065,713.9208631554584
HH2IB,2454.0000272453676,2454.879459919143
HH3IB,4160.000056796826,4161.81885757703
HH4IB,3650.000049247178,3651.7292140017407
HH5IB,465.0000044379397,465.0554890656042
