Labor Group,AG_MI_R1,UTIL_R1,CONS_R1,MANU_R1,COMMER_R1,EDU_R1,HEALTH_R1,ART_ACC_R1,RELIG_R1,AG_MI_R2,UTIL_R2,CONS_R2,MANU_R2,COMMER_R2,EDU_R2,HEALTH_R2,ART_ACC_R2,RELIG_R2,L1W_R1,L2W_R1,L3W_R1,L4W_R1,L1W_R2,L2W_R2,L3W_R2,L4W_R2,KAP,INVES,HS1_R1,HS2_R1,HS3_R1,HS1_R2,HS2_R2,HS3_R2,HH1_R1,HH2_R1,HH3_R1,HH4_R1,HH1_R2,HH2_R2,HH3_R2,HH4_R2,USSOC1_R1,USSOC2_R1,USSOC3_R1,USSOC4_R1,USSOC1_R2,USSOC2_R2,USSOC3_R2,USSOC4_R2,PROTAX,UTSTX,COUNTYSTX,UTITX,USPIT,OTX,CYGF,COUNTY,STATE,FED,OUT1,OUT2,OUT3,OUT4,ROW
L1W_R1,329.0107744940183,0.0,3263.134506059959,2473.0652506697256,49986.67356326612,13531.433300843331,9380.936895270332,15728.038614580619,1007.9819860346975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307.0597983663204,1540.2944517864084,335.8314128356071,0.0,0.0,0.0,0.0,0.0
L2W_R1,126.99984771978583,213.00114996398605,7481.05440951689,17444.86806635479,79041.8004656637,11300.978240724447,20907.14959209312,17119.460855221823,1782.9076092947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3516.982707179516,4147.045225604391,901.1855019243937,0.0,0.0,0.0,0.0,0.0
L3W_R1,340.9946080912872,1607.985183571756,10083.925982544999,18001.600792444424,88781.1087973604,17884.70421052272,20496.866743062932,6040.7214818029315,1041.9307801377993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4757.8728319814345,5607.870856135843,1218.9295546327448,0.0,0.0,0.0,0.0,0.0
L4W_R1,235.00114116588645,383.00438688726933,3436.045795559159,3678.9944528368032,25377.12642493513,5321.021973858287,8002.722944448843,923.9764960243331,597.9726338561834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.003889744284,1112.7787851765192,241.58806314893258,0.0,0.0,0.0,0.0,0.0
L1W_R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.037408273866,0.0,2512.119734997541,1339.0453314191172,23351.916598356816,5724.212403879,3836.152387027523,12199.451968503105,429.02103613838676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0114734610528,424.45310032573985,96.23691973301709,0.0,0.0,0.0,0.0,0.0
L2W_R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.00526761050972,108.99980879796075,4789.280590523012,4502.201599353745,36591.836027574194,4874.234112372614,6092.308564910378,7392.354630775855,771.0462297195207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0142122483806,347.1942491847008,77.19128801964575,0.0,0.0,0.0,0.0,0.0
L3W_R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0156395513508,491.9877956678149,8409.298837629676,5952.12932193379,42733.15913945365,6256.156277069352,8418.23232185623,3990.099440336985,678.0250235541787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1376.0189482174885,1622.5253917419316,351.85986912111775,0.0,0.0,0.0,0.0,0.0
L4W_R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0384861807299,37.00054732015338,1918.1441150894295,3045.1867416525397,21784.453488990137,907.0585743422857,2475.1663157670546,560.03613251555,254.01943311597415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.01348184550022,217.754372077091,47.11792384062312,0.0,0.0,0.0,0.0,0.0
