DUMMY,OUT1,OUT2,OUT3,OUT4
HH1,0.871681416,0,0,0
HH2,0.417102967,0.454915649,0,0
HH3,0.208036835,0.454164923,0.209501884,0
HH4,0.08203125,0.280949519,0.463341346,0.045372596
HH5,0.154247392,0.181073025,0.252608048,0.285394933
