Household Group,Y0,YL
HH1A,105.5545520934588,117.02826657819209
HH2A,372.404378296956,392.66326736928636
HH3A,623.9110526575234,658.5396101152241
HH4A,665.1299261710451,702.9412028661628
HH5A,1111.2481966503985,1187.414366290308
HH1B,76.25081952750068,86.89224072303236
HH2B,308.5317340405601,336.653629607022
HH3B,596.0177578168514,643.695945545063
HH4B,699.0107177994454,766.0406076641136
HH5B,1057.3171159598237,1165.802614118784
HH1C,29.341555636837757,32.602595703027774
HH2C,237.0630659967916,254.9788276588472
HH3C,647.5530573801879,697.1595487955194
HH4C,543.9050652342834,596.9957649712288
HH5C,386.59683471968975,426.2137038290199
HH1D,12.181076654735023,13.630646327832471
HH2D,129.9785406664947,140.27209890425237
HH3D,482.43834565664935,523.6080748554709
HH4D,954.8817287623846,1063.9774510830528
HH5D,1116.1236825256692,1208.4768432918295
HH1E,20.825219914626665,24.036749931059237
HH2E,199.32490443447685,221.85487764471875
HH3E,592.2070819085493,660.4500539576535
HH4E,1142.2135170265892,1288.643766727377
HH5E,1384.1886729935286,1523.1059872322762
HH1F,4.650691486849203,5.322926994126074
HH2F,86.86273922473967,101.16644140593803
HH3F,619.3425293461646,722.7551142677288
HH4F,1133.5209748420725,1309.555689289479
HH5F,3254.2683662946965,3765.8582867189575
HH1G,46.078348373341385,52.660930937665455
HH2G,357.7996489614513,401.8828521489589
HH3G,650.7310176513605,731.3224374971187
HH4G,613.2131107034797,684.8637056609939
HH5G,568.2300205605909,618.9002290515283
HH1H,53.72641082547219,60.56521009926239
HH2H,229.37412482043683,247.73676476635174
HH3H,604.0871373761639,655.2212334048158
HH4H,394.0364372137392,432.38098929980316
HH5H,239.9796416447981,259.57201910607347
