DUMMY,HH0,HW0,HN0,OUT
IHH1,1138,468,670,474
IHH2,2195,1427,768,1450
IHH3,4224,3096,1128,3144
IHH4,5817,5341,476,5422
IHH5,3944,3734,210,3791
MHH1,3532,1450,2082,2711
MHH2,6813,4429,2384,8274
MHH3,13115,9612,3503,17962
MHH4,18058,16579,1479,30970
MHH5,12224,11594,630,21661
