Labor Group,AG_MIN,UTIL_CONS,MANU,WHOLE,RETAIL,TRANS,INFO,FINANCE,REALE,PROF_MAN,ADMIN_EDU,HEALTH,ART,ACCO,OTHER,L1,L2,L3,L4,KAP,HS1,HS2,HS3,HS4,HH1,HH2,HH3,HH4,HH5,INVES,USSOC1,USSOC2,USSOC3,USSOC4,PROTAX,LOCSTX,OTX,COUNTYSTX,MOSTX,MOITX,USPIT,CYGF,FED,STATE,COUNTY,OUT1,OUT2,OUT3,OUT4,ROW
L1,1.000000003053268,234.00000062168462,1023.0000012741722,375.00000071347404,1584.0000025455645,883.0000015677948,33.000000068822615,158.00000037728753,8.000000022749104,204.00000040039362,2382.000004439029,1782.0000037272912,45.00000009931487,2736.000005699959,596.0000011144724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999872064735,6.000000005443379,22.99999800368128,0.0,0.0,0.0,0.0,0.0
L2,1.0000000036602776,505.0000016482097,1899.0000035179635,448.00000112430394,2644.000005853969,402.00000095778177,177.00000047658023,569.0000017041012,253.0000008730138,539.0000013850809,2163.0000053438685,4999.000013490517,125.00000035175086,1247.0000033548388,425.0000010526952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.999999821686872,61.00000011060601,248.99997861327,0.0,0.0,0.0,0.0,0.0
L3,9.000000030092794,354.0000010432903,2467.0000037890673,814.0000017850803,1325.0000025140869,1598.0000033013205,151.00000035876238,147.00000039370593,62.00000019430884,1278.0000028794484,615.0000013246777,2361.000005623924,166.0000004145639,127.0000003014591,127.00000027435759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9999999505594808,18.000000024131264,72.99999369549593,0.0,0.0,0.0,0.0,0.0
L4,1.000000002957401,79.00000020231147,538.0000006185159,0.0,615.0000009293761,245.00000041151785,12.000000023876002,0.0,17.0000000467121,0.0,172.00000030404524,824.0000016445116,0.0,0.0,4.0000000070962125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
