Sectors,DS0,DSL
AG_MIN,1.5980273483558254,1.553672747064549
UTIL_CONS,67.83798469136227,66.52774784674915
MANU,399.1735927290664,394.9837814901902
WHOLE,124.48196470685706,120.64573883406631
RETAIL,422.29292221115065,412.4305756339153
TRANS,197.26277416364613,195.80464016890068
INFO,35.5915841202523,34.52069443545643
FINANCE,44.28241137359678,43.08955504861817
REALE,26.224762540077023,25.219317055679085
PROF_MAN,106.5891883091488,105.51837015118039
ADMIN_EDU,193.84953941175561,192.00673943154626
HEALTH,546.8729612843264,543.8576094513938
ART,20.572497710859487,20.153519099479613
ACCO,102.42295856550787,100.34019785533894
OTHER,67.53124702660458,65.36858933868376
HS1,82.9637664873267,79.23837890865231
HS2,280.14923293998936,267.56947048736583
HS3,289.6242941569008,276.61906554049955
HS4,252.7334199821009,241.38473144853805
