Labor Group,IAGMIN,IUTIL,ICONS,IMANU,IWHOLE,IRETAIL,ITRANS,IPROFSER,IREALE,IEDU,IHEALTH,IART,IACCO,MAGMIN,MUTIL,MCONS,MMANU,MWHOLE,MRETAIL,MTRANS,MPROFSER,MREALE,MEDU,MHEALTH,MART,MACCO,IL1,IL2,IL3,IL4,ML1,ML2,ML3,ML4,KAP,INVES,HS1I,HS2I,HS3I,HS1M,HS2M,HS3M,IHH1,IHH2,IHH3,IHH4,IHH5,MHH1,MHH2,MHH3,MHH4,MHH5,IUSSOC1,IUSSOC2,IUSSOC3,IUSSOC4,MUSSOC1,MUSSOC2,MUSSOC3,MUSSOC4,PROTAX,TXSTX,COUNTYSTX,USPIT,OTX,CYGF,COUNTY,STATE,FED,OUT1,OUT2,OUT3,OUT4,ROW
IL1,14.999999998990761,4.99999999923231,119.00000000232794,14.999999999380657,36.999999990384296,893.9999997762194,158.99999998112432,914.9999999208771,37.99999999767631,1797.999999674015,403.9999999671695,872.999999900046,3620.999999589094,9.096381730287036e-09,9.096381730287036e-09,9.096381730287036e-09,9.096381730287035e-09,9.096381730287036e-09,9.096381730287036e-09,9.096381730287036e-09,9.096381730287036e-09,9.096381730287035e-09,9.096381730287035e-09,9.096381730287036e-09,9.096381730287036e-09,9.096381730287035e-09,-2.340649432032577e-10,-2.3406494320325775e-10,-2.3406494320325775e-10,-2.340649432032577e-10,-2.340649432032577e-10,-2.340649432032577e-10,-2.3406494320325775e-10,-2.3406494320325775e-10,-2.3406494320325775e-10,-2.340649432032577e-10,9.096381730287035e-09,9.096381730287036e-09,9.096381730287036e-09,9.096381730287036e-09,9.096381730287036e-09,9.096381730287036e-09,-2.3406494320325775e-10,-2.340649432032577e-10,-2.340649432032577e-10,-2.340649432032577e-10,-2.3406494320325775e-10,-2.340649432032577e-10,-2.3406494320325775e-10,-2.3406494320325775e-10,-2.3406494320325775e-10,-2.3406494320325775e-10,-2.3406494320325775e-10,-2.340649432032577e-10,-2.340649432032577e-10,-2.340649432032577e-10,-2.340649432032577e-10,-2.340649432032577e-10,-2.3406494320325775e-10,-2.340649432032577e-10,-2.340649432032577e-10,-2.340649432032577e-10,-2.340649432032577e-10,-2.340649432032577e-10,-2.340649432032577e-10,-2.340649432032577e-10,4.999999999367698,5.000000000409219,4.3004305987632774e-17,-2.3406494320325775e-10,-2.340649432032577e-10,-2.3406494320325775e-10,-2.3406494320325775e-10,-2.3406494320325775e-10
IL2,8.999999999388047,67.99999998951112,270.0000000050895,72.99999999693392,73.9999999807158,923.999999768008,729.9999999128192,1064.999999907128,132.99999999177248,2998.999999454077,722.9999999407271,318.99999996323294,1962.9999997756336,9.008992781836602e-09,9.008992781836602e-09,9.008992781836602e-09,9.008992781836602e-09,9.008992781836602e-09,9.008992781836602e-09,9.008992781836602e-09,9.008992781836602e-09,9.008992781836602e-09,9.008992781836602e-09,9.008992781836602e-09,9.008992781836602e-09,9.008992781836602e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,9.008992781836602e-09,9.008992781836602e-09,9.008992781836602e-09,9.008992781836602e-09,9.008992781836602e-09,9.008992781836602e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069792e-09,-1.1299092737069792e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069792e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,90.99999998839552,84.00000000678574,7.000000029203151,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09,-1.1299092737069794e-09
IL3,52.99999999709262,76.99999998913448,375.000000011995,181.99999999474696,123.99999996931501,199.99999995240998,988.9999998948759,1431.9999998939272,332.999999983775,7178.999998787322,1252.999999913733,223.99999997712456,406.9999999588213,8.893970541301292e-09,8.893970541301292e-09,8.893970541301292e-09,8.893970541301292e-09,8.893970541301292e-09,8.893970541301292e-09,8.893970541301292e-09,8.893970541301292e-09,8.893970541301292e-09,8.893970541301292e-09,8.893970541301292e-09,8.893970541301292e-09,8.893970541301292e-09,-2.253969612528885e-09,-2.2539696125288846e-09,-2.253969612528885e-09,-2.253969612528885e-09,-2.2539696125288846e-09,-2.2539696125288846e-09,-2.2539696125288846e-09,-2.2539696125288846e-09,-2.2539696125288855e-09,-2.2539696125288855e-09,8.893970541301292e-09,8.893970541301292e-09,8.893970541301292e-09,8.893970541301292e-09,8.893970541301292e-09,8.893970541301292e-09,-2.253969612528885e-09,-2.253969612528885e-09,-2.2539696125288846e-09,-2.2539696125288846e-09,-2.253969612528885e-09,-2.253969612528885e-09,-2.253969612528885e-09,-2.253969612528885e-09,-2.2539696125288846e-09,-2.2539696125288846e-09,-2.2539696125288846e-09,-2.2539696125288846e-09,-2.253969612528885e-09,-2.253969612528885e-09,-2.253969612528885e-09,-2.253969612528885e-09,-2.253969612528885e-09,-2.253969612528885e-09,-2.2539696125288846e-09,-2.2539696125288846e-09,-2.2539696125288846e-09,-2.2539696125288846e-09,-2.2539696125288846e-09,-2.2539696125288846e-09,240.99999997399303,225.00000002258804,18.00000007544679,-2.2539696125288846e-09,-2.2539696125288855e-09,-2.2539696125288846e-09,-2.2539696125288846e-09,-2.253969612528885e-09
IL4,66.00000000175886,26.99999999839063,198.0000000224713,189.00000000994936,74.99999998755337,186.99999997074462,225.99999999439765,962.0000000071486,81.00000000265534,1525.9999998666196,462.0000000058474,5.1165291014374555e-09,7.999999999842634,5.1165291014374555e-09,5.1165291014374555e-09,5.1165291014374555e-09,5.1165291014374555e-09,5.1165291014374555e-09,5.1165291014374555e-09,5.1165291014374555e-09,5.1165291014374555e-09,5.1165291014374555e-09,5.1165291014374555e-09,5.1165291014374555e-09,5.1165291014374555e-09,5.1165291014374555e-09,-8.362409820260933e-09,-8.362409820260931e-09,-8.362409820260934e-09,-8.362409820260934e-09,-8.362409820260934e-09,-8.362409820260934e-09,-8.362409820260933e-09,-8.362409820260933e-09,-8.362409820260931e-09,-8.362409820260931e-09,5.1165291014374555e-09,5.1165291014374555e-09,5.1165291014374555e-09,5.1165291014374555e-09,5.1165291014374555e-09,5.1165291014374555e-09,-8.362409820260931e-09,-8.362409820260931e-09,-8.362409820260931e-09,-8.362409820260931e-09,-8.362409820260933e-09,-8.362409820260933e-09,-8.362409820260931e-09,-8.362409820260931e-09,-8.362409820260931e-09,-8.362409820260931e-09,-8.362409820260931e-09,-8.362409820260931e-09,-8.362409820260931e-09,-8.362409820260931e-09,-8.362409820260931e-09,-8.362409820260931e-09,-8.362409820260933e-09,-8.362409820260933e-09,-8.362409820260934e-09,-8.362409820260934e-09,-8.362409820260933e-09,-8.362409820260933e-09,-8.362409820260934e-09,-8.362409820260934e-09,91.00000000125006,83.00000001842942,7.000000030192031,-8.362409820260933e-09,-8.362409820260933e-09,-8.362409820260934e-09,-8.362409820260934e-09,-8.362409820260933e-09
ML1,9.206840963255443e-09,9.206840963255443e-09,9.206840963255443e-09,9.206840963255443e-09,9.206840963255443e-09,9.206840963255443e-09,9.206840963255443e-09,9.206840963255443e-09,9.206840963255443e-09,9.206840963255443e-09,9.206840963255443e-09,9.206840963255443e-09,9.206840963255443e-09,67.0000000035546,14.999999998283155,803.0000000202874,195.99999997237666,252.99999996224162,4034.999999837927,83.99999999566968,2809.999999638078,67.9999999994036,1816.9999998145079,1110.999999841666,739.9999999232285,5460.999998475897,-3.885604218115485e-11,-3.885604218115486e-11,-3.885604218115485e-11,-3.885604218115485e-11,-3.885604218115485e-11,-3.885604218115485e-11,-3.885604218115485e-11,-3.885604218115485e-11,-3.885604218115486e-11,-3.885604218115485e-11,9.206840963255443e-09,9.206840963255443e-09,9.206840963255443e-09,9.206840963255443e-09,9.206840963255443e-09,9.206840963255443e-09,-3.885604218115486e-11,-3.885604218115485e-11,-3.885604218115485e-11,-3.885604218115485e-11,-3.885604218115486e-11,-3.885604218115485e-11,-3.885604218115485e-11,-3.885604218115485e-11,-3.885604218115485e-11,-3.885604218115485e-11,-3.885604218115485e-11,-3.885604218115485e-11,-3.885604218115486e-11,-3.885604218115485e-11,-3.885604218115486e-11,-3.885604218115485e-11,-3.885604218115486e-11,-3.885604218115485e-11,-3.885604218115486e-11,-3.885604218115485e-11,-3.885604218115486e-11,-3.885604218115485e-11,-3.885604218115485e-11,-3.885604218115485e-11,9.999999998419028,10.00000000050207,5.5202985310449647e-17,-3.885604218115486e-11,-3.885604218115485e-11,-3.885604218115485e-11,-3.885604218115485e-11,-3.885604218115485e-11
ML2,9.203841448745413e-09,9.203841448745413e-09,9.203841448745413e-09,9.203841448745413e-09,9.203841448745413e-09,9.203841448745413e-09,9.203841448745413e-09,9.203841448745413e-09,9.203841448745413e-09,9.203841448745413e-09,9.203841448745413e-09,9.203841448745413e-09,9.203841448745413e-09,44.00000000161133,228.9999999700276,1828.0000000161422,964.9999998481442,495.9999999178255,4174.999999763467,387.999999973624,3264.9999995257776,237.99999999400282,3025.999999641289,1985.9999996843223,270.99999996742855,2960.999999124969,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.8417663879916916e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,9.203841448745413e-09,9.203841448745413e-09,9.203841448745413e-09,9.203841448745413e-09,9.203841448745413e-09,9.203841448745413e-09,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.8417663879916916e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.8417663879916916e-10,-1.8417663879916916e-10,-1.8417663879916916e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,179.99999996712899,166.0000000042642,12.000000049401404,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10,-1.841766387991692e-10
ML3,9.194021067583132e-09,9.194021067583132e-09,9.194021067583132e-09,9.194021067583132e-09,9.194021067583132e-09,9.194021067583132e-09,9.194021067583132e-09,9.194021067583132e-09,9.194021067583134e-09,9.194021067583134e-09,9.194021067583134e-09,9.194021067583132e-09,9.194021067583132e-09,240.00000000637783,257.99999996363954,2545.9999999968886,2448.999999590003,845.9999998513375,898.9999999400213,523.9999999591136,4391.999999317932,598.9999999788871,7249.999999067648,3446.999999417442,188.99999997538487,615.9999998117723,-4.942005655563939e-10,-4.942005655563939e-10,-4.942005655563939e-10,-4.942005655563939e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563939e-10,-4.942005655563939e-10,-4.942005655563938e-10,-4.942005655563938e-10,9.194021067583132e-09,9.194021067583132e-09,9.194021067583132e-09,9.194021067583132e-09,9.194021067583132e-09,9.194021067583132e-09,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563939e-10,-4.942005655563939e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563938e-10,480.9999999049481,445.00000000475757,34.000000139460894,-4.942005655563938e-10,-4.942005655563938e-10,-4.942005655563939e-10,-4.942005655563939e-10,-4.942005655563939e-10
ML4,9.142495581828562e-09,9.142495581828562e-09,9.142495581828562e-09,9.142495581828562e-09,9.142495581828562e-09,9.142495581828558e-09,9.142495581828558e-09,9.142495581828558e-09,9.142495581828562e-09,9.142495581828562e-09,9.142495581828562e-09,9.142495581828562e-09,9.142495581828562e-09,300.0000000044628,89.9999999862633,1349.9999999825584,2534.9999995459516,512.9999999038521,841.9999999339743,119.99999998923292,2951.9999995070357,145.99999999314628,1541.9999997836524,1272.9999997699679,9.142495581828562e-09,11.999999996192868,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,9.142495581828562e-09,9.142495581828562e-09,9.142495581828562e-09,9.142495581828562e-09,9.142495581828562e-09,9.142495581828562e-09,-1.103810450213764e-09,-1.1038104502137636e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.1038104502137636e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09,178.99999996150203,164.99999999888328,12.000000049011984,-1.1038104502137636e-09,-1.1038104502137636e-09,-1.103810450213764e-09,-1.103810450213764e-09,-1.103810450213764e-09
