Labor Group,IAGMIN,IUTIL,ICONS,IMANU,IWHOLE,IRETAIL,ITRANS,IPROFSER,IREALE,IEDU,IHEALTH,IART,IACCO,MAGMIN,MUTIL,MCONS,MMANU,MWHOLE,MRETAIL,MTRANS,MPROFSER,MREALE,MEDU,MHEALTH,MART,MACCO,IL1,IL2,IL3,IL4,ML1,ML2,ML3,ML4,KAP,INVES,HS1I,HS2I,HS3I,HS1M,HS2M,HS3M,IHH1,IHH2,IHH3,IHH4,IHH5,MHH1,MHH2,MHH3,MHH4,MHH5,IUSSOC1,IUSSOC2,IUSSOC3,IUSSOC4,MUSSOC1,MUSSOC2,MUSSOC3,MUSSOC4,PROTAX,TXSTX,COUNTYSTX,USPIT,OTX,CYGF,COUNTY,STATE,FED,OUT1,OUT2,OUT3,OUT4,ROW
IL1,14.971129773297866,5.0229822837577585,117.55529190525188,14.948945760141362,36.01042016157447,836.8538272531313,156.50696020416953,895.8446096094559,35.40991638881137,1790.3198077770219,393.3279144127612,855.3840484659639,3516.408519575477,9.085836791576087e-09,9.085836791576087e-09,9.085836791576087e-09,9.085836791576087e-09,9.085836791576087e-09,9.085836791576087e-09,9.085836791576087e-09,9.085836791576087e-09,9.085836791576087e-09,9.085836791576087e-09,9.085836791576087e-09,9.085836791576087e-09,9.085836791576087e-09,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,9.085836791576087e-09,9.085836791576087e-09,9.085836791576087e-09,9.085836791576087e-09,9.085836791576087e-09,9.085836791576087e-09,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,5.0711072152047505,4.9199071207065845,-1.1438354584153845e-21,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10,-5.692224837205888e-10
IL2,8.967244358428555,68.19518846256967,266.2638247643673,72.62653864859539,71.89709837718512,863.450088304631,717.3193913256537,1040.9128687106838,123.72177008056819,2981.0590182945753,702.6917919907529,312.02598699835136,1903.024053081378,9.052945689831251e-09,9.052945689831251e-09,9.052945689831251e-09,9.052945689831251e-09,9.052945689831251e-09,9.052945689831251e-09,9.052945689831251e-09,9.052945689831251e-09,9.052945689831251e-09,9.052945689831251e-09,9.052945689831251e-09,9.052945689831251e-09,9.052945689831251e-09,-2.826383293681979e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.826383293681979e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,9.052945689831251e-09,9.052945689831251e-09,9.052945689831251e-09,9.052945689831251e-09,9.052945689831251e-09,9.052945689831251e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.826383293681979e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.826383293681979e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.826383293681979e-09,-2.826383293681979e-09,-2.826383293681979e-09,-2.826383293681979e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,92.05757335692951,82.44257117882647,6.916853105896516,-2.826383293681979e-09,-2.826383293681979e-09,-2.8263832936819793e-09,-2.8263832936819793e-09,-2.8263832936819793e-09
IL3,52.484139733963524,76.74874185895887,367.54912074977847,179.9614951308401,119.73939165394296,185.75092328910804,965.8767702058464,1391.0524527333325,307.8750077467735,7092.409129766549,1210.3566838264721,217.76286381307006,392.1517032142251,9.005684995107417e-09,9.005684995107417e-09,9.005684995107417e-09,9.005684995107417e-09,9.005684995107417e-09,9.005684995107417e-09,9.005684995107417e-09,9.005684995107417e-09,9.005684995107417e-09,9.005684995107417e-09,9.005684995107417e-09,9.005684995107417e-09,9.005684995107417e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,9.005684995107417e-09,9.005684995107417e-09,9.005684995107417e-09,9.005684995107417e-09,9.005684995107417e-09,9.005684995107417e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617452e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617452e-09,-5.053163057617452e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,-5.053163057617454e-09,241.57869632875546,218.8155694670345,17.62408091425795,-5.053163057617454e-09,-5.053163057617452e-09,-5.053163057617452e-09,-5.053163057617454e-09,-5.053163057617454e-09
IL4,65.86679170729451,27.12155992226165,195.5778518342456,188.33904754388217,72.9872476210901,175.03018546174468,222.4355662009843,941.7723191229326,75.47195189883305,1519.3391242559446,449.75358966589414,8.09271730094239e-09,7.768193667033975,8.09271730094239e-09,8.092717300942388e-09,8.092717300942388e-09,8.09271730094239e-09,8.09271730094239e-09,8.09271730094239e-09,8.09271730094239e-09,8.09271730094239e-09,8.09271730094239e-09,8.09271730094239e-09,8.09271730094239e-09,8.09271730094239e-09,8.09271730094239e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,8.09271730094239e-09,8.092717300942388e-09,8.09271730094239e-09,8.09271730094239e-09,8.09271730094239e-09,8.09271730094239e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252786e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252786e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252786e-09,-8.790080020252786e-09,92.28122957555962,81.65902384405611,6.9336577766485,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09,-8.790080020252785e-09
ML1,9.100567265418448e-09,9.100567265418448e-09,9.100567265418448e-09,9.100567265418448e-09,9.100567265418448e-09,9.100567265418448e-09,9.100567265418448e-09,9.100567265418448e-09,9.100567265418448e-09,9.100567265418448e-09,9.100567265418448e-09,9.100567265418448e-09,9.100567265418448e-09,66.33127468712968,14.730609377758547,795.5600543300403,194.19903841483054,250.37119947890702,3970.8576536250903,83.30940962104323,2780.9717361024195,67.09824641340889,1798.0111999027863,1100.6837072166054,734.1668588984277,5403.186272122682,-6.947223232136307e-11,-6.947223232136307e-11,-6.947223232136307e-11,-6.947223232136307e-11,-6.947223232136307e-11,-6.947223232136307e-11,-6.947223232136307e-11,-6.947223232136307e-11,-6.947223232136307e-11,-6.947223232136307e-11,9.100567265418448e-09,9.100567265418448e-09,9.100567265418448e-09,9.100567265418448e-09,9.100567265418448e-09,9.100567265418448e-09,-6.947223232136307e-11,-6.947223232136307e-11,-6.94722323213631e-11,-6.947223232136308e-11,-6.947223232136307e-11,-6.947223232136307e-11,-6.947223232136308e-11,-6.947223232136307e-11,-6.947223232136307e-11,-6.947223232136307e-11,-6.947223232136308e-11,-6.947223232136308e-11,-6.947223232136307e-11,-6.947223232136307e-11,-6.947223232136308e-11,-6.947223232136308e-11,-6.947223232136307e-11,-6.947223232136307e-11,-6.947223232136308e-11,-6.947223232136308e-11,-6.947223232136307e-11,-6.947223232136307e-11,-6.947223232136308e-11,-6.947223232136308e-11,9.947676663295898,9.651076810897228,-1.3554145382729156e-22,-6.947223232136307e-11,-6.947223232136307e-11,-6.947223232136308e-11,-6.947223232136308e-11,-6.947223232136307e-11
ML2,9.09558758981719e-09,9.09558758981719e-09,9.09558758981719e-09,9.09558758981719e-09,9.09558758981719e-09,9.09558758981719e-09,9.09558758981719e-09,9.09558758981719e-09,9.09558758981719e-09,9.09558758981719e-09,9.09558758981719e-09,9.09558758981719e-09,9.09558758981719e-09,43.609957948585965,225.14089456043348,1813.1054601242154,957.2111923733864,491.39980089675447,4113.2651930609745,385.2440565507867,3234.9151333952045,235.1086812315036,2997.752956241254,1969.7775075863474,269.16699009493163,2932.9564988434263,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,9.09558758981719e-09,9.09558758981719e-09,9.09558758981719e-09,9.09558758981719e-09,9.09558758981719e-09,9.09558758981719e-09,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,179.35962592243393,160.47758639391276,11.679541997564717,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10,-4.2906249795736613e-10
ML3,9.08053353890055e-09,9.08053353890055e-09,9.08053353890055e-09,9.08053353890055e-09,9.080533538900551e-09,9.080533538900551e-09,9.08053353890055e-09,9.080533538900551e-09,9.080533538900551e-09,9.080533538900551e-09,9.080533538900551e-09,9.080533538900551e-09,9.080533538900551e-09,238.47263602161433,254.29213621877258,2531.626265946042,2435.3621892456963,840.2683044191589,887.94126980782,521.5906862479502,4362.509208134682,593.2159915878108,7200.443418277616,3427.46897641357,188.19523824540542,611.7053031515995,-1.1773994787420436e-09,-1.1773994787420436e-09,-1.1773994787420438e-09,-1.1773994787420438e-09,-1.1773994787420438e-09,-1.1773994787420438e-09,-1.1773994787420438e-09,-1.1773994787420438e-09,-1.1773994787420438e-09,-1.1773994787420436e-09,9.080533538900551e-09,9.08053353890055e-09,9.08053353890055e-09,9.08053353890055e-09,9.08053353890055e-09,9.08053353890055e-09,-1.1773994787420436e-09,-1.1773994787420438e-09,-1.1773994787420438e-09,-1.1773994787420438e-09,-1.1773994787420438e-09,-1.1773994787420438e-09,-1.1773994787420438e-09,-1.1773994787420436e-09,-1.1773994787420436e-09,-1.1773994787420438e-09,-1.1773994787420438e-09,-1.1773994787420436e-09,-1.1773994787420436e-09,-1.1773994787420436e-09,-1.1773994787420438e-09,-1.1773994787420438e-09,-1.1773994787420438e-09,-1.1773994787420438e-09,-1.1773994787420438e-09,-1.1773994787420436e-09,-1.1773994787420436e-09,-1.1773994787420436e-09,-1.1773994787420438e-09,-1.1773994787420436e-09,481.0947005230712,431.8168838437338,33.21672384355261,-1.1773994787420438e-09,-1.1773994787420438e-09,-1.1773994787420436e-09,-1.1773994787420436e-09,-1.1773994787420436e-09
ML4,9.053201989483e-09,9.053201989483e-09,9.053201989483e-09,9.053201989483e-09,9.053201989483e-09,9.053201989483e-09,9.053201989483e-09,9.053201989483e-09,9.053201989483e-09,9.053201989483e-09,9.053201989483e-09,9.053201989483e-09,9.053201989483e-09,299.0167840796355,88.9821171439653,1346.5483841271239,2528.71414896689,511.1071836185285,834.225848647774,119.81930272165873,2941.2868370566225,145.0393632296229,1536.2171535389496,1269.719103349463,9.053201989483e-09,11.953353976152224,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.5590859155592396e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,9.053201989483e-09,9.053201989483e-09,9.053201989483e-09,9.053201989483e-09,9.053201989483e-09,9.053201989483e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.5590859155592396e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.5590859155592396e-09,-2.5590859155592396e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.5590859155592396e-09,-2.55908591555924e-09,-2.55908591555924e-09,179.86595869883425,160.85479130721782,11.777946416242253,-2.5590859155592396e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09,-2.55908591555924e-09
